# Existing oversized Swift files. Each entry ratchets its current counts downward
# until it reaches the defaults: 800 lines / 12 top-level types / 400 lines in the
# largest top-level declaration.
#
# Columns: path <TAB> lines <TAB> types <TAB> largest-top-level-type
#
# 2026-08-10, UI polish: two rows grew by exactly one line each, deliberately.
# Track's root ScrollView and AdaptiveHome each gained
# `.lifeBoardReportsComposerScroll()`, required for the composer's scroll-driven
# capsule/orb compression. Neither file can shrink to pay for it without a
# separate extraction pass, and blocking a one-line modifier behind a 4,500-line
# refactor is how a ratchet stops being useful. Every other file in this change
# was brought under the limit by extraction instead — see LifeThreadComposerHost,
# whose largest declaration went 436 -> under 400 by moving `host(router:)` and
# two inline sections out.
#
# 2026-08-10, signal rings restored: Gallery 5028 -> 5017 (ratcheted DOWN; the
# SignalStrip adoption was reverted at the user's request and `ring(_:)` came
# back smaller than the strip plumbing it replaced). AtmosphereRenderer
# 1387 -> 1393 for `MetricRing.RingState.permissionRequired`, a new case that
# separates "HealthKit was never authorized" from "authorized, nothing recorded
# yet" — the mapping used to collapse both into a dashed "+", which promised
# that tapping would let you add a value a permission gate cannot accept.
#
# 'largest' is the metric that predicts the -Onone launch crash: Debug inlines a
# computed 'some View' property into its caller's frame, so it is the size of the
# TYPE, not the file, that overflows the 1 MB main stack. Extracting a section into
# a sibling struct therefore shows up here as progress even though the file grows.
#
# 2026-08-07 regenerated after the parallel -Onone split pass. File 'lines' grew for
# ChatView / WeeklyPlanningWorkspaceView / LifeOSFoundationShell because extracting a
# section into a sibling struct adds declarations; 'largest' is the column that matters
# and it fell sharply. The later structural wave landed the AdaptiveHome split.
# 2026-08-07 +38 lines / +1 type / +3 largest: HealthDateRangeValidator and three
# `validate(start:end:)` calls, fixing an intermittent SIGSEGV where a malformed date
# bound reached HealthKit's predicate description and faulted in __dtoa. A crash fix,
# not drift.
# 2026-08-08: three rows gained 3-6 lines when the Home shrapnel was
# consolidated — each file picked up a header explaining why it is kept
# separate. The type sizes (603, 402, 409) are unchanged, which is the
# number this ratchet exists to drive down.
# 2026-08-09, Wave 6: fifteen rows grew by 1-6 lines. Each view that read
# `ThemeStore.shared.tokens(for: layoutClass)` now declares
# `@Environment(\.lifeboardTokens)` instead — one line added, one singleton
# reference removed. Type sizes are unchanged except where the property
# sits inside the largest type.
# 2026-08-11, health-first summaries: the read-only Health metrics boundary,
# Nutrition/Wellness resolvers, the Fasting destination, and wellness/nutrition/
# fasting deep links grew nine rows. LifeBoardPhaseVIViews was measured mid-
# extraction (1558) and landed at 2410 once the WellnessView/NutritionView
# health wiring was committed, so its row is a correction, not growth.
# 2026-08-11, cross-root route transactions: routines/goals/moments destination
# views, the acknowledged-leaf navigation protocol, and resolved Home card
# routes grew five more rows (projection store, track store, track views,
# gallery, models). Largest-type columns are unchanged; the growth is additive
# declaration count from the new destination and composer types.
# 2026-08-11, eva composer clearance: bridged composer focus state added six
# lines to ChatView and moved the chat's prompt field into the structured
# composer (+10 lines to its single top-level declaration). Type sizes are
# unchanged in the file that matters (ChatView's largest type held at 424;
# the +6 lines are outside it).
LifeBoard/AppDelegate.swift	2056	15	1666
LifeBoard/DesignSystem/ComposerScaffold.swift	623	13	106
LifeBoard/DesignSystem/LifeBoardHomeCardBodies.swift	672	1	662
LifeBoard/DesignSystem/ScreenScaffold.swift	423	14	97
LifeBoard/DesignSystem/LifeBoardSignatureEffects.swift	1946	52	145
LifeBoard/DesignSystem/LifeBoardValueControls.swift	804	8	178
LifeBoard/Features/DailyLoop/Data/DayCloseStore.swift	618	3	572
LifeBoard/Features/DailyLoop/Data/HomeLifeOSProjectionStore.swift	1008	4	875
LifeBoard/Features/DailyLoop/UI/LifeBoardDayCloseViews.swift	948	5	705
LifeBoard/Features/Eva/ChatHostViewController.swift	1374	10	885
LifeBoard/Features/Eva/Models/AISuggestionService.swift	572	11	549
LifeBoard/Features/Eva/Models/AssistantPlannerService.swift	2265	32	914
LifeBoard/Features/Eva/Models/Data.swift	1004	24	256
LifeBoard/Features/Eva/Models/EvaDayOverview.swift	869	17	434
LifeBoard/Features/Eva/Models/EvaProposalCard.swift	481	15	260
LifeBoard/Features/Eva/Models/LLMContextProjectionService.swift	2199	17	1298
LifeBoard/Features/Eva/Models/LLMEvaluator.swift	640	8	522
LifeBoard/Features/Eva/Models/LLMGenerationProfile.swift	1399	15	266
LifeBoard/Features/Eva/Models/LLMInferenceEngine.swift	645	13	424
LifeBoard/Features/Eva/Models/LLMRuntimeCoordinator.swift	873	11	761
LifeBoard/Features/Eva/Models/LifeBoardAppShortcuts.swift	793	25	70
LifeBoard/Features/Eva/Models/Models.swift	1018	21	295
LifeBoard/Features/Eva/Models/SlashCommandExecutionService.swift	479	6	427
LifeBoard/Features/Eva/Views/Chat/ChatView.swift	2551	10	424
LifeBoard/Features/Eva/Views/Chat/Chrome/ChatComposerView+StructuredComposer.swift	506	0	504
LifeBoard/Features/Eva/Views/Chat/Conversation/MessageView+DayOverviewAndProposalActions.swift	409	0	402
LifeBoard/Features/Eva/Views/Chat/Conversation/MessageView+EvaProposalAndDayOverview.swift	430	0	423
LifeBoard/Features/Eva/Views/Onboarding/EvaActivationComponents.swift	546	14	82
LifeBoard/Features/Eva/Views/Shared/EvaMediaView.swift	844	22	106
LifeBoard/Features/Health/HealthSync/HealthKitGateway.swift	689	5	598
LifeBoard/Features/Health/HealthSync/HealthSyncLedger.swift	582	7	430
LifeBoard/Features/Health/HealthSync/HealthSyncModels.swift	548	26	80
LifeBoard/Features/Health/UI/LifeBoardPhaseVIViews.swift	2410	25	723
LifeBoard/Features/Plan/UI/Inbox/InboxView.swift	1366	6	647
LifeBoard/Features/Journal/Data/LifeBoardPhaseIIPersistence.swift	1997	16	1395
LifeBoard/Features/Journal/Domain/LifeBoardJournalDerivedIndex.swift	555	3	547
LifeBoard/Features/Journal/Domain/LifeBoardPhaseIIModels.swift	2485	99	199
LifeBoard/Features/Journal/UI/LifeBoardTrackAndJournalViews.swift	6448	51	1117
LifeBoard/Features/Knowledge/UI/LifeBoardKnowledgeCompletion.swift	1629	31	304
